company-externalId,company-name,company-owner,company-locationName,company-Address,company-phone,company-phone2,company-website,company-locationCity,company-locationState,company-locationZipCode,company-locationCountry,company-locationDistrict,company-Note
1,MaxHire Solutions,,"55 Water Street, Vancouver, BC, V6B 1A1","55 Water Street, Vancouver, BC, V6B 1A1",(800) 206-7934,,www.maxhire.net,Vancouver,BC,V6B 1A1,,,"Company Status: Unactive
Sic: C
Pipeline Status: 0: Inactive
"
2,Dempton,jean-francois.sauve@dempton.com,,,,,,,,,,,"Company Status: Active

Pipeline Status: 1: New Lead
"
3,BRP Bombardier Récréatif,jean-francois.sauve@dempton.com,"726 Saint-Joseph Street, Valcourt, QC, J0E 2L0","726 Saint-Joseph Street, Valcourt, QC, J0E 2L0",(450) 532-5100,(450) 532-2211,http://www.brp.com/en-CA/,Valcourt,QC,J0E 2L0,,,"Company Status: Active
Sic: B
Pipeline Status: 2: Visited
Description: Modules SAP: MM, FI, CO, COPA, SD"
4,CGI,jean-francois.sauve@dempton.com,"1130 Sherbrooke Street West, Montreal, QC, H3A 2M8","1130 Sherbrooke Street West, Montreal, QC, H3A 2M8",(514) 415-3000,(514) 228-8800,http://www.cgi.com/web/en/home.htm,Montreal,QC,H3A 2M8,,,"Company Status: Active
Sic: C
Pipeline Status: 3: Done transactions with
Description: CGI Montréal: 514-415-3000 ou 514-228-8800

Comptes payables : 
1.866.344.3221 option 1-2

Lyne Lessard,  514-770-1942"
5,Desjardins Groupe Assurances Générales,jean-francois.sauve@dempton.com,"1, Complexe Desjardins, C.P. 7, succursale Desjardins , Québec, QC, H1B  1B2","1, Complexe Desjardins, C.P. 7, succursale Desjardins , Québec, QC, H1B  1B2",(514) 281-7000,,,Québec,QC,H1B  1B2,,,"Company Status: Active
Sic: B
Pipeline Status: 1: New Lead
"
6,VMD (Valeurs Mobilières Desjardins),jean-francois.sauve@dempton.com,"1170, rue Peel, Montréal, QC, H3B 0A9","1170, rue Peel, Montréal, QC, H3B 0A9",(514) 281-2244,(514) 987-1749,http://www1.vmd.ca/corpo/index2.htm,Montréal,QC,H3B 0A9,,,"Company Status: Active
Sic: A
Pipeline Status: 2: Visited
"
8,Cirque du Soleil,jean-francois.sauve@dempton.com,"8400, 2E Avenue, Montréal, QC, H1Z 4M6","8400, 2E Avenue, Montréal, QC, H1Z 4M6",(514) 722-2324,,http://www.cirquedusoleil.com/CirqueDuSoleil/en/default.htm,Montréal,QC,H1Z 4M6,,,"Company Status: Active
Sic: B
Pipeline Status: 3: Done transactions with
Description: (JeanFranS - 2014-05-30 3:34 PM)
Madame, Monsieur,

Vous avez rempli il y a quelques semaines un questionnaire de qualification. Nous vous en remercions.

Suite à l’analyse des réponses soumises, nous vous confirmons que malheureusement votre firme n’a pas été retenue comme ‘’firme pré-référencée’’ par le Cirque du Soleil.

Par conséquent, vous ne serez pas invité de manière automatique et récurrente à tous les concours en lien avec votre champ d’expertise. 

Pour votre information, le statut de ‘’firme pré-référencée’’ est valable pour une période de 2 ans et sera donc révisé au cours de l’année 2016. Vous serez alors de nouveau invité à répondre à notre questionnaire de qualification.

Merci de votre patience.

Carole Garnier
Directeur de Projets – Direction principale de la chaîne d’approvisionnement
Project Director – Supply Chain
Carole.Garnier@cirquedusoleil.com
Cirque du Soleil 


(Admin - 2/28/2013 3:52 PM)

Le Cirque du Soleil est une entreprise québécoise de divertissement artistique spécialisée en cirque contemporain. Son siège social se trouve à Montréal, au Québec (Canada), dans le quartier Saint- Michel. Elle a été fondée en 1984 à Baie-Saint-Paul par deux anciens artistes de rue Guy Laliberté et Daniel Gauthier. Elle est détenue depuis août 2008 à 20 % par un consortium de deux entreprises dubaïotes appartenant à la société d'investissements Dubai World. Elle présente actuellement dix-huit productions à thématiques dont dix spectacles en tournée dans le monde (six sous chapiteaux et quatre en arénas) et huit spectacles fixes (à Las Vegas et Orlando). D'autres projets sont en cours de réalisation à Dubaï, Las Vegas, Macao, New York et sous forme de spectacles de tournée. 



*******************

SAP Modules: FI,CO, RH, Payroll

Le projet « SAP R/3 Paie, RH et Temps global » nommé « Projet Maestro » est un projet visant à l’application des règles de gestion de la paie canadienne, américaine et internationale pour les 4300 employés du Cirque.
 ? Le chargé de projet de CGI, en collaboration avec le gestionnaire de projet du Cirque du Soleil, doivent assurer la coordination et assurer l’intégration des activités de manière à livrer un document d’architecture complet pour le projet.
 "
9,Via Consultants,jean-francois.sauve@dempton.com,"261 rue St-Jacques Ouest, Montréal, QC, H2Y 1M6","261 rue St-Jacques Ouest, Montréal, QC, H2Y 1M6",(514) 494-3262,(888) 842-3227,http://www.viaconsultants.com/viaconsultants.htm,Montréal,QC,H2Y 1M6,,,"Company Status: Active
Sic: C
Pipeline Status: 4: Established relation
"
11,SNC-Lavalin,jean-francois.sauve@dempton.com,"455 boul. René-Lévesque Ouest, Montréal, QC, H2Z 1Z3","455 boul. René-Lévesque Ouest, Montréal, QC, H2Z 1Z3",(514) 393-8000,,http://www.snclavalin.com/fr/,Montréal,QC,H2Z 1Z3,,,"Company Status: Active
Sic: A
Pipeline Status: 3: Done transactions with
Description: (JeanFranS - 2013-07-22 10:52 AM)
Qualification des firmes en décembre 2013 selon Nathalie Gagné

(JenniferDD - 11/02/2011 3:44 PM)
Je connais bien Juan-Manuel Blasco - Analyste - Développement de Systèmes de gestion de projets/ Analyst - Project Management System Development - Technologies globales de l'information / Global Information Technologies - il est sous Gregor...Ian - Aziza Anafi - Doina Falcon
dans l'équipe PM+ informatique



(Jennifer - 2011-02-04 2:55 PM)
Conversion de Legacy vers Oracle Financier R12
Puis implantation de OBIEE et Talent management 12,1

En Avril 2011, 

Upgrade de R12 vers R12.1




2 principales adresses pour les TI : 455 René-Lévesque O. et 620 René-Lévesque O.   


Pierre Poulin : 
Il est très sympatique.  Il gère une équipe de 13 personnes sous Sheila Bourque (4 intégrateurs seniors, 5 analystes télécom senior, 1 spécialiste Citrix, 3 architectes infra).  Son besoin a été comblé à l'interne pour l'instant.  Il dit qu'il aura probablement un départ prochainement (analyste télécom) et va m'appeler sans faute si c'est le cas.  

Dit que ses employés voyagent 10% du temps environ.  Ils doivent intégrer des entreprises acquises dans le monde régulièrement

au niveau télécom : 100% switch Cisco, 95% Firewall Checkpoint et IP Call Manager"
12,Aeroports de Montréal,jean-francois.sauve@dempton.com,"800 Leigh-Capreol Place, Dorval, QC, H4Y 0A5","800 Leigh-Capreol Place, Dorval, QC, H4Y 0A5",(514) 394-7377,(800) 465-1213,http://www.admtl.com/Passagers/Accueil.aspx,Dorval,QC,H4Y 0A5,CA,,"Company Status: Active
Sic: B
Pipeline Status: 3: Done transactions with
Description: Équipé de la solution OFFICE 365


(Jennifer - 2010-06-15 3:53 PM)

à ce jour, les budgets annuels consacrés au TI n'ont jamais été utilisés entièrement par manque d'organisation

Gilles Massey aurait été congédié par philippe rainville directement pour la magouille

(Jennifer - 2009-12-08 10:13 AM)
Réorganisation. Nouvel organigramme, et nouveau plan DTI sort le 15 décembre 2009. 

ADM Rencontre du 11 janvier 2008 avec Réginald Jean-Gilles

Équipe TI de 35
Sur les 35 : 10 techniciens, spécialistes en infrastructure et réseau.
Support 7/24
Gestion de projets.
Gestion des infrastructures.
600 usagers internes.
6,000 devices incluant les PCs, caméras, contrôles d'accès.

Ils gèrent les Activités Externes et Internes

Externe
Clients : cies aériennes
Infrastrucuture aéroport.
Logiciels spécialisés : pour les interations avec les passagers.

Interne
Opérationnels
Interactions indirects avec passagers.
Exemples : Affichage, Caméras, Contrôle d'accès.
Administration / Finances / RH

Ils font la GA pour les cies aériennes, mais pas pour ADM.
Ils ont Office at large. Les autres logiciels sont sur demande.
Ils ne connaissent pas l'utilsation de Autocad ou Acrobat. Est-ce que des viewers seraient suffisant?

Début mars Réginald aura une connaissance de leurs besoins.

Août 2008 - Intérêt pour la Gestion d'Actifs pour ADM
-Coûts des contrats de services.
-Coûts par utilisateurs.
-SAP n'est pas le plus cher par utilisateur. Plusieurs le croit, mais c'est un mythe urbain.
-Besoins d'affaires avec la plateforme déjà existante C.C.C.

Site de ADM : appels d'offres

Développement de logiciels : à l'externe (ADM fait le QA)
Réseaux : Bell
Bagages : Axima
Aéroportuaire : Ar(i)nc

 
Projets :
- Mise à jour et récupérer Documention sur Sharepoint / Exchange / Active Directory.
- Système de parking.
- Système de gestion de parc. Pour les déploiements par exemple. Exemple : SMS.

Ils font le hosting de logiciels pour d'autres aéroports.

Focus de Réginald :
Optimiser les services rendus aux clients.
Supporter équipement utiliser à l'aéroport.
Logiciel de Helpdesk C2
Exemples :
-	Nombres de calls?
-	Sur quoi?
-	Qui appelle souvent?

Les enjeux sont plus au niveau processus et pas au niveau logiciel.
Une fois les processus en place, ils prennent les meilleurs outils (logiciels).




(David - 28/05/2008 1:24 PM)
L'horaire de travail à ADM est de 37.5 heures/semaine. De 8h30 à 17h00 avec 1 heure de dïner. Ceux qui le veulent peuvent commencer à 8h00 et terminer plus tôt.

Gestionnaire de projets : 

Junior 1 : dans 2 à 3 prochaines semaines. (65$/hr et +)

Senior : à partir de fin mai et avant 24 juin. (110$/hr)

Junior 2 : Au plus tard, cet automne

Pour les postes contractuels, Dempton est la première firme à qui il en a parlé.

 

Booker rencontre avec ADM pour au plus tard vendredi le 9 mai.

 

Vendredi 2 mai pm : je fais un suivi avec Gilles Massey.

 

Qualités importantes :

Jugement – Bon sens (Mises en situation)

Beaucoup de potentiel : Soft Skills

Processus et Méthodes

Leadership

« Processus et Méthodes » passe avant le leadership

Attitude de Service à la clientèle : Imputabilité / Suivi des dossiers clients / Documents de suivi avec ce qu’il y a à livrer.

Bilingue.



 

Raisons de rejets :

Incompétences due à l’insécurité.

Dire que ça va bien quand ce n’est pas le cas.

Mettre la faute sur le dos de l’équipe ou des fournisseurs.

 

Ce qui est recherché :

Savoir lever le flag et aller chercher les ressources nécessaires pour faire avancer le projet.

Si ça bloque à une étape, aviser son supérieur rapidement.

Initiative.

Capacité à trouver des solutions.

Savoir déléguer le micro-management aux autres.

 

Gilles fait un suivi séré (micro) de ses gérants. Ex : code de couleurs.

Couleur : Avant d’envoyer « Jaune » au client, Gilles s’attende à ce que son gérant lui dise pourquoi.

 

Poste Junior : en moyenne 4 projets à la fois.

 

Savoir livrer sans focuser perfection (les « nice to have » peuvent, par exemple, doubler le temps de développement)

Le gérant de projet doit détecter les délais, les coûts.

Savoir faire de l’Optimisation (80/20)

 

Exemple d’erreur de Junior :

Focuser sur un seul axe à la fois

VS

WBS(Work Breakdown Structure)=Penser aux diférentes étapes

(ex : prévoir la formation durant la configuration)

 

Vente du poste aux candidats :

Environnement technologique très varié.

Hautes technologies.

Certification ISO 9000 : processus très bien définis.

Opportunités d’apprentissages : très bien encadré. Coaching les 3 premiers mois.

Rencontre avec Gilles à tous les jours.

1 meeting de l’équipe par semaine.

 

 

Gestionnaire de projets Senior

Pour environ 2 à 3 ans (Duré du contrat avec ADM?)

100 à 110$/heure (Payer le consultant 90$/heure)

Processus d’apprentissage 1 an

Plus technique avec un background IT : CRM / applications Web / applications serveurs

Un pigiste (exemple : un ancien de Samson Bélair)

2 axes : Gestion de contrats et ?

Remplace le logiciel de SITA par « AirInc? » pour CUTE : contrat de service annuel de plus de 1M$

Relation quotidienne avec ce fournisseur.

Implantation de logiciels.

Exemple de projet qu’il va gérer : Bagages (BRS) B. Reconciliation System : 500K$

 

Projet permanent CUTE : Commun Use Terminal Equipment

1-       Bornes des aérogares

2-       Comptoirs

3-       Barrières

Michel Gascon va se départir de la gestion de ce projet.

C’est le gestionnaire de projets Senior qui va s’en occuper.

 

 

 

Début 2008 : programme d’immobilisation TI : 11M$

60 projets

- Intranet : 150K$

- Extranet (Programmation Sharepoint. Stade : analyse préliminaire) : ? K$

- Lumières des pistes (Stade : achats, configuration / Solution : Electrical UP : 500K$

- Control PLC (lié au lumières de pistes) : 100K$

- F.I.D.S. :Flight Info Display System (Live avant le 24 juin)

- Suivi des incidents (stade: analyse préliminaire) 2 Aspects: Opérations (demandes des clients) et Urgences

- Gestion du bruit : projet terminé

- Analyse de capacité : infrastructure pour recevoir X. Pour Été 2008.

- Entrepôt de données.

- Remplacement du système strationnement : 1M$

Septembre 2008 : Beaucoup de nouveaux projets.

Gilles gère personnellement 2 gros projets : FIDS et Largo(stationnement)

 

Bureau de services – Centre d’appels

Suivi des demandes

 

Réginald, Gilles et l’équipe TI ont une vision de 5 ans.

 

"
13,L-3 Communications MAS,jean-francois.sauve@dempton.com,"10000, rue Helen-Bristol , Mirabel , QC, J7N 1H3","10000, rue Helen-Bristol , Mirabel , QC, J7N 1H3",(450) 476-4000,,http://www.mas.l-3com.com/htm/main.asp?language=fr&content=home,"Mirabel ",QC,J7N 1H3,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
"
48,Rolls-Royce,jean-francois.sauve@dempton.com,"9500, chemin de la cote-de-Liesse, Lachine, QC, H8T 1A2","9500, chemin de la cote-de-Liesse, Lachine, QC, H8T 1A2",(514) 636-0964,,http://www.rolls-roycemotorcars.com/lo-band/home.htm,Lachine,QC,H8T 1A2,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
Description: Environ 100 personnes en TI ; SAP Modules: FI,CO,MM,SD"
